student_id,school_id,grade_level,subject,assessment_date,score,pass_fail
STU0115,SCH01,8,Science,2026-01-14,68.3,Pass
STU0559,SCH02,7,Writing,2025-11-07,76.2,Pass
STU0031,SCH02,4,Reading,2025-05-13,64.5,
STU0559,SCH07,4,Writing,2025-08-14,67.9,Fail
STU0007,SCH03,8,Writing,2026-01-06,63.3,Fail
STU0105,SCH02,6,Math,2026-01-04,75.4,Fail
STU0353,SCH05,3,Writing,2025-10-06,,Fail
STU0081,SCH05,8,Science,2025-08-05,58.9,Pass
STU0072,SCH01,8,Reading,2025-09-27,74.3,Pass
STU0104,SCH07,5,Writing,2025-08-19,24.9,Fail
STU0167,SCH06,5,Reading,2025-10-19,,Pass
STU0176,SCH04,4,Writing,2025-06-21,47.5,Fail
STU0277,SCH04,8,Science,2025-07-07,82.3,Pass
STU0033,SCH06,6,Science,2025-05-31,46.3,
STU0217,SCH06,4,Writing,2025-08-30,41.6,Fail
STU0147,SCH05,4,Reading,2026-02-23,88.3,
STU0599,SCH07,7,Writing,2026-02-20,34.6,Pass
STU0522,SCH08,3,Math,2025-10-30,107.4,Pass
STU0157,SCH03,8,Writing,2025-10-21,55.8,Fail
STU0542,SCH05,7,Math,2025-09-28,59.6,Pass
STU0550,SCH05,8,Science,2025-10-01,80.2,
STU0004,SCH05,7,Reading,2026-04-01,78.3,Pass
STU0306,SCH04,4,Science,2026-01-09,69.5,Pass
STU0332,SCH08,3,Math,2025-12-19,49.4,Fail
STU0315,SCH04,3,Reading,2026-04-03,94.2,Pass
STU0498,SCH02,7,Reading,2025-12-14,42.8,Pass
STU0487,SCH03,5,Writing,2025-09-18,101.6,Pass
STU0320,SCH07,8,Science,2025-08-17,60.3,Fail
STU0530,SCH08,3,Reading,2025-07-31,70.2,Pass
STU0226,SCH01,3,Math,2025-09-06,,Pass
STU0070,SCH01,5,Math,2025-09-27,55.9,Fail
STU0220,SCH03,8,Writing,2025-08-06,66.9,Pass
STU0485,SCH07,4,Math,2025-09-11,,Fail
STU0421,SCH08,8,Math,2025-04-10,77.1,Pass
STU0063,SCH07,8,Science,2025-06-12,70.3,Pass
STU0195,SCH08,4,Writing,2026-01-01,61.1,Pass
STU0286,SCH08,4,Math,2025-07-16,40.1,Pass
STU0052,SCH01,3,Reading,2026-03-18,78.4,Pass
STU0417,SCH08,6,Reading,2025-10-01,89.3,Pass
STU0389,SCH01,6,Science,2026-01-24,43.7,Fail
STU0293,SCH07,8,Writing,2025-10-05,75.1,Pass
STU0594,SCH01,8,Science,2025-08-14,78.4,Pass
STU0052,SCH08,7,Reading,2025-12-01,,Pass
STU0071,SCH02,8,Reading,2025-08-17,74.2,Fail
STU0123,SCH04,7,Math,2025-06-18,56.6,Fail
STU0268,SCH04,8,Science,2025-06-19,57.3,Pass
STU0272,SCH07,4,Science,2025-07-28,34.7,Pass
STU0010,SCH08,7,Math,2026-03-12,77.2,Pass
STU0551,SCH04,7,Science,2026-02-07,77.4,
STU0251,SCH06,5,Reading,2026-01-04,78.3,Fail
STU0557,SCH05,7,Math,2025-12-16,58.6,Pass
STU0138,SCH05,3,Math,2025-07-23,51.4,Pass
STU0279,SCH05,7,Reading,2025-09-02,66.0,Fail
STU0518,SCH08,5,Math,2025-08-24,58.1,Pass
STU0434,SCH05,3,Math,2025-04-26,64.0,Fail
STU0166,SCH08,7,Writing,2025-09-30,74.9,Pass
STU0115,SCH02,8,Reading,2025-12-31,40.7,Pass
STU0441,SCH03,3,Science,2025-12-12,60.0,Fail
STU0041,SCH06,4,Reading,2026-02-26,,Fail
STU0159,SCH04,4,Reading,2025-07-14,55.9,Fail
STU0026,SCH03,8,Science,2025-07-12,71.1,Pass
STU0274,SCH03,8,Math,2026-02-23,52.9,Fail
STU0040,SCH08,4,Reading,2025-06-08,74.8,Fail
STU0234,SCH04,3,Reading,2025-05-21,52.8,Fail
STU0337,SCH05,3,Science,2025-07-02,57.4,Fail
STU0029,SCH02,5,Reading,2025-07-19,82.4,Fail
STU0040,SCH02,7,Writing,2025-08-26,53.1,Fail
STU0524,SCH02,6,Reading,2026-02-12,89.7,Fail
STU0046,SCH07,3,Reading,2026-03-21,,Fail
STU0322,SCH02,8,Science,2026-04-07,72.3,Fail
STU0419,SCH06,6,Science,2026-01-13,58.8,Fail
STU0179,SCH05,6,Math,2026-03-01,64.7,Fail
STU0294,SCH04,6,Science,2025-07-30,,Pass
STU0524,SCH08,8,Reading,2025-09-14,71.5,Pass
STU0291,SCH06,3,Reading,2025-05-09,63.0,Pass
STU0151,SCH01,3,Reading,2025-06-26,58.5,Fail
STU0075,SCH08,6,Reading,2025-09-03,65.1,
STU0250,SCH03,8,Math,2025-05-08,,Pass
STU0436,SCH04,4,Writing,2026-01-24,78.8,Pass
STU0468,SCH03,6,Science,2026-03-17,71.5,Fail
STU0517,SCH07,7,Writing,2025-10-12,87.8,Fail
STU0461,SCH05,4,Science,2025-06-06,53.1,Fail
STU0245,SCH05,6,Math,2025-04-25,65.5,Fail
STU0328,SCH02,4,Reading,2026-02-28,,Pass
STU0393,SCH03,8,Reading,2026-02-18,82.1,Fail
STU0426,SCH01,4,Writing,2025-09-01,74.0,Fail
STU0599,SCH01,7,Writing,2025-09-15,32.5,Fail
STU0400,SCH07,7,Reading,2025-09-12,73.2,Fail
STU0225,SCH05,6,Writing,2025-08-06,81.4,Fail
STU0170,SCH08,4,Math,2025-12-10,70.5,Fail
STU0578,SCH01,3,Writing,2026-01-03,79.0,Pass
STU0267,SCH07,5,Reading,2025-11-12,80.6,Fail
STU0335,SCH06,6,Science,2025-08-09,68.4,Fail
STU0084,SCH08,3,Math,2026-03-10,39.7,Fail
STU0230,SCH02,8,Math,2025-04-13,69.0,Pass
STU0021,SCH03,4,Reading,2025-11-11,31.3,Fail
STU0118,SCH04,6,Science,2025-04-12,69.0,Pass
STU0168,SCH05,3,Math,2025-04-08,59.0,
STU0590,SCH07,6,Reading,2025-09-17,,Pass
STU0105,SCH05,8,Math,2025-11-04,78.6,Pass
STU0356,SCH07,8,Science,2025-06-30,,Pass
STU0431,SCH08,3,Writing,2026-02-12,77.1,Fail
STU0471,SCH03,6,Reading,2026-03-02,64.0,Fail
STU0552,SCH08,6,Writing,2026-03-07,29.3,Fail
STU0331,SCH04,3,Science,2025-04-26,76.3,
STU0584,SCH07,5,Math,2025-08-06,60.4,Fail
STU0333,SCH03,6,Reading,2025-06-24,60.9,
STU0283,SCH01,7,Reading,2026-02-12,77.2,Pass
STU0248,SCH07,6,Reading,2025-04-07,60.1,Fail
STU0459,SCH01,3,Science,2025-05-28,,Pass
STU0415,SCH04,5,Science,2025-12-31,49.8,Fail
STU0564,SCH06,5,Writing,2025-07-24,71.1,Fail
STU0314,SCH05,4,Math,2025-07-23,65.7,Pass
STU0197,SCH04,8,Writing,2026-02-04,55.2,Fail
STU0538,SCH05,3,Reading,2026-01-06,63.9,Fail
STU0015,SCH03,5,Math,2025-09-29,81.6,Pass
STU0567,SCH05,8,Reading,2025-06-09,51.8,Pass
STU0013,SCH05,6,Writing,2025-12-21,48.9,Fail
STU0349,SCH03,3,Science,2026-01-23,83.9,Pass
